"","ID","HOME_AIRPORT_ID","LAT1","LON1","CODE","FLIGHT_TYPE_ID","FLIGHT_NATURE_ID","PORT_AIRPORT_ID","LAT2","LON2","DESCRIPTION1","FLYING_TIME","LAT1c","LON1c"
"11",4648,2933,"27:51:39:S","28:14:46:E","PLZ",3,3,6,"34:0:54:S","25:37:2:E","PORT ELIZABETH",95,-27.8608333333333,28.2461111111111
"12",4753,2933,"27:51:39:S","28:14:46:E","PEL",3,3,6,"34:0:54:S","25:37:2:E","EAST LONDON / PORT ELIZABETH",155,-27.8608333333333,28.2461111111111
"13",4795,2933,"27:51:39:S","28:14:46:E","ELP",3,3,6,"34:0:54:S","25:37:2:E","EAST LONDON / PORT ELIZABETH",0,-27.8608333333333,28.2461111111111
"14",4598,2933,"27:51:39:S","28:14:46:E","CKB",3,1,7,"29:11:50:S","24:45:55:E","BLOEMFONTEIN / KIMBERLEY",0,-27.8608333333333,28.2461111111111
"15",4723,2933,"27:51:39:S","28:14:46:E","KIM",3,3,7,"29:11:50:S","24:45:55:E","KIMBERLEY",0,-27.8608333333333,28.2461111111111
"16",4783,2933,"27:51:39:S","28:14:46:E","BLK",3,3,7,"29:11:50:S","24:45:55:E","BLOEMFONTEIN / KIMBERLEY",0,-27.8608333333333,28.2461111111111
"17",4695,2933,"27:51:39:S","28:14:46:E","BFN",3,3,8,"30:54:26:S","26:18:9:E","BLOEMFONTEIN",70,-27.8608333333333,28.2461111111111
"18",4624,2933,"27:51:39:S","28:14:46:E","UTN",3,3,9,"29:36:3:S","21:15:37:E","UPINGTON",95,-27.8608333333333,28.2461111111111
"19",4559,2933,"27:51:39:S","28:14:46:E","GBL",3,1,10,"35:59:40:S","22:22:44:E","BLOEMFONTEIN / GEORGE",0,-27.8608333333333,28.2461111111111
"20",4560,2933,"27:51:39:S","28:14:46:E","GRJ",3,3,10,"35:59:40:S","22:22:44:E","GEORGE",105,-27.8608333333333,28.2461111111111
"21",4653,2933,"27:51:39:S","28:14:46:E","GPE",3,3,10,"35:59:40:S","22:22:44:E","PORT ELIZABETH / GEORGE",0,-27.8608333333333,28.2461111111111
"22",4699,2933,"27:51:39:S","28:14:46:E","BLG",3,3,10,"35:59:40:S","22:22:44:E","BLOEMFONTEIN / GEORGE",0,-27.8608333333333,28.2461111111111
"23",4717,2933,"27:51:39:S","28:14:46:E","GCT",3,2,10,"35:59:40:S","22:22:44:E","GEORGE",0,-27.8608333333333,28.2461111111111
"24",4792,2933,"27:51:39:S","28:14:46:E","CTG",3,1,10,"35:59:40:S","22:22:44:E","GEORGE",0,-27.8608333333333,28.2461111111111
"25",4641,2933,"27:51:39:S","28:14:46:E","AUH",2,3,1747,"24:25:59:N","54:39:4:E","ABU DHABI",0,-27.8608333333333,28.2461111111111
"26",4553,2933,"27:51:39:S","28:14:46:E","DXB",2,3,1748,"25:15:10:N","55:21:52:E","DUBAI",500,-27.8608333333333,28.2461111111111
"27",4610,2933,"27:51:39:S","28:14:46:E","DBO",2,1,1748,"25:15:10:N","55:21:52:E","MUMBAI / DUBAI",0,-27.8608333333333,28.2461111111111
"28",4705,2933,"27:51:39:S","28:14:46:E","CDA",2,2,1748,"25:15:10:N","55:21:52:E","COMORES / DUBAI",0,-27.8608333333333,28.2461111111111
"29",4710,2933,"27:51:39:S","28:14:46:E","DCM",2,1,1748,"25:15:10:N","55:21:52:E","COMORES / DUBAI",0,-27.8608333333333,28.2461111111111
"30",13461,2933,"27:51:39:S","28:14:46:E","RKT",2,3,1748,"25:15:10:N","55:21:52:E","DUBAI (RAZ AL KHAYMAH)",10,-27.8608333333333,28.2461111111111
"31",4702,2933,"27:51:39:S","28:14:46:E","CAB",2,3,1754,"6:24:11:S","12:11:18:E","CABINDA",0,-27.8608333333333,28.2461111111111
"32",4519,2933,"27:51:39:S","28:14:46:E","LAD",2,3,1756,"9:8:30:S","13:13:52:E","LUANDA",205,-27.8608333333333,28.2461111111111
"33",4530,2933,"27:51:39:S","28:14:46:E","LUK",2,1,1756,"9:8:30:S","13:13:52:E","KINSHASA / LUANDA",0,-27.8608333333333,28.2461111111111
"34",4725,2933,"27:51:39:S","28:14:46:E","LAF",2,2,1756,"9:8:30:S","13:13:52:E","LUANDA",0,-27.8608333333333,28.2461111111111
"35",13773,2933,"27:51:39:S","28:14:46:E","CTLU",2,3,1756,"9:8:30:S","13:13:52:E","CAPE TOWN / LUANDA",10,-27.8608333333333,28.2461111111111
"36",4670,2933,"27:51:39:S","28:14:46:E","MEL",2,3,1759,"38:19:36:S","144:50:35:E","MELBOURNE",0,-27.8608333333333,28.2461111111111
"37",4492,2933,"27:51:39:S","28:14:46:E","PSY",2,2,1770,"34:3:14:S","151:10:37:E","PERTH / SYDNEY",0,-27.8608333333333,28.2461111111111
"38",4499,2933,"27:51:39:S","28:14:46:E","SPH",2,1,1770,"34:3:14:S","151:10:37:E","HARARE / SYDNEY / PERTH",0,-27.8608333333333,28.2461111111111
"39",4500,2933,"27:51:39:S","28:14:46:E","SYM",2,1,1770,"34:3:14:S","151:10:37:E","MELBOURNE / SYDNEY",0,-27.8608333333333,28.2461111111111
"40",4620,2933,"27:51:39:S","28:14:46:E","SYD",2,3,1770,"34:3:14:S","151:10:37:E","SYDNEY",850,-27.8608333333333,28.2461111111111
"41",4621,2933,"27:51:39:S","28:14:46:E","SYP",2,1,1770,"34:3:14:S","151:10:37:E","PERTH / SYDNEY",0,-27.8608333333333,28.2461111111111
"42",4658,2933,"27:51:39:S","28:14:46:E","HPS",2,2,1770,"34:3:14:S","151:10:37:E","HARARE / PERTH / SYDNEY",0,-27.8608333333333,28.2461111111111
"43",4775,2933,"27:51:39:S","28:14:46:E","MSY",2,2,1770,"34:3:14:S","151:10:37:E","MELBOURNE / SYDNEY",0,-27.8608333333333,28.2461111111111
"44",4480,2933,"27:51:39:S","28:14:46:E","MEP",2,1,1771,"32:3:35:S","115:58:1:E","MELBOURNE / PERTH",0,-27.8608333333333,28.2461111111111
"45",4488,2933,"27:51:39:S","28:14:46:E","PER",2,3,1771,"32:3:35:S","115:58:1:E","PERTH",660,-27.8608333333333,28.2461111111111
"46",4784,2933,"27:51:39:S","28:14:46:E","BRU",2,3,1775,"50:54:5:N","4:29:4:E","BRUSSELS",0,-27.8608333333333,28.2461111111111
"47",4451,2933,"27:51:39:S","28:14:46:E","OST",2,3,1781,"51:11:56:N","2:51:44:E","OSTEND",0,-27.8608333333333,28.2461111111111
"48",4475,2933,"27:51:39:S","28:14:46:E","NBN",2,2,1790,"26:16:15:N","50:38:1:E","NAIROBI / BAHRAIN",0,-27.8608333333333,28.2461111111111
"49",4692,2933,"27:51:39:S","28:14:46:E","BAH",2,3,1790,"26:16:15:N","50:38:1:E","BAHRAIN",0,-27.8608333333333,28.2461111111111
"50",4385,2933,"27:51:39:S","28:14:46:E","BBC",2,2,1793,"6:21:26:N","2:23:4:E","BRAZZAVILLE / LIBREVILLE / COTONOU",0,-27.8608333333333,28.2461111111111
"51",4402,2933,"27:51:39:S","28:14:46:E","BPC",2,2,1793,"6:21:26:N","2:23:4:E","BRAZZAVILLE / POINTE NOIRE / COTONOU",0,-27.8608333333333,28.2461111111111
"52",4411,2933,"27:51:39:S","28:14:46:E","ACB",2,1,1793,"6:21:26:N","2:23:4:E","BRAZZAVILLE / COTONOU / ABIDJAN",0,-27.8608333333333,28.2461111111111
"53",4482,2933,"27:51:39:S","28:14:46:E","BZC",2,2,1793,"6:21:26:N","2:23:4:E","BRAZZAVILLE / COTONOU",0,-27.8608333333333,28.2461111111111
"54",4483,2933,"27:51:39:S","28:14:46:E","CBZ",2,1,1793,"6:21:26:N","2:23:4:E","BRAZZAVILLE / COTONOU",480,-27.8608333333333,28.2461111111111
"55",12322,2933,"27:51:39:S","28:14:46:E","BCM",2,2,1793,"6:21:26:N","2:23:4:E","BRAZZAVILLE / BAMAKO SENOU / COTONOU",0,-27.8608333333333,28.2461111111111
"56",13664,2933,"27:51:39:S","28:14:46:E","COO1",2,3,1793,"6:21:26:N","2:23:4:E","Cotonou",0,-27.8608333333333,28.2461111111111
"57",13668,2933,"27:51:39:S","28:14:46:E","CPJ",2,3,1793,"6:21:26:N","2:23:4:E","COO \ PNR",10,-27.8608333333333,28.2461111111111
"58",4476,2933,"27:51:39:S","28:14:46:E","GRU",2,3,1798,"24:33:52:S","47:31:37:W","SAO PAULO",495,-27.8608333333333,28.2461111111111
"59",10602,2933,"27:51:39:S","28:14:46:E","CSR",2,2,1798,"24:33:52:S","47:31:37:W","CAPE TOWN / RIO DE JANEIRO / SAO PAULO",0,-27.8608333333333,28.2461111111111
"60",4693,2933,"27:51:39:S","28:14:46:E","BBK",1,3,1805,"18:10:2:S","25:9:45:E","KASANE",0,-27.8608333333333,28.2461111111111
"61",4650,2933,"27:51:39:S","28:14:46:E","GBE",1,3,1806,"25:26:41:S","25:55:6:E","GABORONE",60,-27.8608333333333,28.2461111111111
"62",4652,2933,"27:51:39:S","28:14:46:E","GKA",2,1,1806,"25:26:41:S","25:55:6:E","KARASBURG / GABORONE",0,-27.8608333333333,28.2461111111111
"63",4574,2933,"27:51:39:S","28:14:46:E","JWA",1,3,1808,"25:23:52:S","24:41:28:E","JWANENG",0,-27.8608333333333,28.2461111111111
"64",4751,2933,"27:51:39:S","28:14:46:E","ORP",1,3,1809,"22:43:59:S","25:19:0:E","ORAPA",0,-27.8608333333333,28.2461111111111
"65",4651,2933,"27:51:39:S","28:14:46:E","GBM",2,2,1812,"20:1:39:S","23:25:52:E","GABORONE / MAUN",0,-27.8608333333333,28.2461111111111
"66",4671,2933,"27:51:39:S","28:14:46:E","MGB",2,1,1812,"20:1:39:S","23:25:52:E","GABORONE / MAUN",0,-27.8608333333333,28.2461111111111
"67",4741,2933,"27:51:39:S","28:14:46:E","MUB",1,3,1812,"20:1:39:S","23:25:52:E","MAUN",100,-27.8608333333333,28.2461111111111
"68",4445,2933,"27:51:39:S","28:14:46:E","HLK",2,1,1844,"12:24:31:S","27:31:51:E","KINSHASA / LUBUMBASHI / HARARE",0,-27.8608333333333,28.2461111111111
"69",4479,2933,"27:51:39:S","28:14:46:E","FBM",2,3,1844,"12:24:31:S","27:31:51:E","LUBUMBASHI",150,-27.8608333333333,28.2461111111111
"70",4509,2933,"27:51:39:S","28:14:46:E","HKD",2,2,1845,"5:36:51:S","15:26:41:E","HARARE / DOUALA / KINSHASA",0,-27.8608333333333,28.2461111111111
