"","ID","HOME_AIRPORT_ID","LAT1","LON1","CODE","FLIGHT_TYPE_ID","FLIGHT_NATURE_ID","PORT_AIRPORT_ID","LAT2","LON2","DESCRIPTION1","FLYING_TIME","LAT1c","LON1c","LAT2c","LON2c","distanza"
"25",4641,2933,"27:51:39:S","28:14:46:E","AUH",2,3,1747,"24:25:59:N","54:39:4:E","ABU DHABI",0,-27.8608333333333,28.2461111111111,24.4330555555556,54.6511111111111,6466.43382554052
"26",4553,2933,"27:51:39:S","28:14:46:E","DXB",2,3,1748,"25:15:10:N","55:21:52:E","DUBAI",500,-27.8608333333333,28.2461111111111,25.2527777777778,55.3644444444444,6580.62373523307
"27",4610,2933,"27:51:39:S","28:14:46:E","DBO",2,1,1748,"25:15:10:N","55:21:52:E","MUMBAI / DUBAI",0,-27.8608333333333,28.2461111111111,25.2527777777778,55.3644444444444,6580.62373523307
"28",4705,2933,"27:51:39:S","28:14:46:E","CDA",2,2,1748,"25:15:10:N","55:21:52:E","COMORES / DUBAI",0,-27.8608333333333,28.2461111111111,25.2527777777778,55.3644444444444,6580.62373523307
"29",4710,2933,"27:51:39:S","28:14:46:E","DCM",2,1,1748,"25:15:10:N","55:21:52:E","COMORES / DUBAI",0,-27.8608333333333,28.2461111111111,25.2527777777778,55.3644444444444,6580.62373523307
"30",13461,2933,"27:51:39:S","28:14:46:E","RKT",2,3,1748,"25:15:10:N","55:21:52:E","DUBAI (RAZ AL KHAYMAH)",10,-27.8608333333333,28.2461111111111,25.2527777777778,55.3644444444444,6580.62373523307
"31",4702,2933,"27:51:39:S","28:14:46:E","CAB",2,3,1754,"6:24:11:S","12:11:18:E","CABINDA",0,-27.8608333333333,28.2461111111111,-6.40305555555556,12.1883333333333,2925.54784298999
"32",4519,2933,"27:51:39:S","28:14:46:E","LAD",2,3,1756,"9:8:30:S","13:13:52:E","LUANDA",205,-27.8608333333333,28.2461111111111,-9.14166666666667,13.2311111111111,2609.21352326148
"33",4530,2933,"27:51:39:S","28:14:46:E","LUK",2,1,1756,"9:8:30:S","13:13:52:E","KINSHASA / LUANDA",0,-27.8608333333333,28.2461111111111,-9.14166666666667,13.2311111111111,2609.21352326148
"34",4725,2933,"27:51:39:S","28:14:46:E","LAF",2,2,1756,"9:8:30:S","13:13:52:E","LUANDA",0,-27.8608333333333,28.2461111111111,-9.14166666666667,13.2311111111111,2609.21352326148
"35",13773,2933,"27:51:39:S","28:14:46:E","CTLU",2,3,1756,"9:8:30:S","13:13:52:E","CAPE TOWN / LUANDA",10,-27.8608333333333,28.2461111111111,-9.14166666666667,13.2311111111111,2609.21352326148
"36",4670,2933,"27:51:39:S","28:14:46:E","MEL",2,3,1759,"38:19:36:S","144:50:35:E","MELBOURNE",0,-27.8608333333333,28.2461111111111,-38.3266666666667,144.843055555556,10139.4506801214
"37",4492,2933,"27:51:39:S","28:14:46:E","PSY",2,2,1770,"34:3:14:S","151:10:37:E","PERTH / SYDNEY",0,-27.8608333333333,28.2461111111111,-34.0538888888889,151.176944444444,10879.9275199003
"38",4499,2933,"27:51:39:S","28:14:46:E","SPH",2,1,1770,"34:3:14:S","151:10:37:E","HARARE / SYDNEY / PERTH",0,-27.8608333333333,28.2461111111111,-34.0538888888889,151.176944444444,10879.9275199003
"39",4500,2933,"27:51:39:S","28:14:46:E","SYM",2,1,1770,"34:3:14:S","151:10:37:E","MELBOURNE / SYDNEY",0,-27.8608333333333,28.2461111111111,-34.0538888888889,151.176944444444,10879.9275199003
